Wage,Age,Club,League,Nation,Position,Apps,Caps
"68,500",18,Borussia M'gladbach,Bundesliga,EGY,Midfilder,0,0
"68,500",18,Borussia M'gladbach,Bundesliga,MKD,Midfilder,0,0
"68,500",18,Borussia M'gladbach,Bundesliga,GER,Defender,0,0
"68,500",19,Bayer 04,Bundesliga,GER,Defender,1,0
"68,500",18,Schalke 04,Bundesliga,GER,Midfilder,0,0
"68,500",18,Schalke 04,Bundesliga,GER,Defender,0,0
"68,500",18,Schalke 04,Bundesliga,GER,Defender,0,0
"67,000",22,Santa Clara,Primiera Liga,BRA,Midfilder,67,0
"67,000",29,Rio Ave,Primiera Liga,FRA,Midfilder,227,0
"67,000",21,PTM,Primiera Liga,BRA,Midfilder,46,0
"67,000",22,SC Freiburg,Bundesliga,GER,Defender,54,0
"67,000",21,MRT,Primiera Liga,COL,Defender,38,0
"67,000",20,SC Freiburg,Bundesliga,GER,Defender,51,0
"67,000",27,Estoril Praia,Primiera Liga,BRA,Forward,120,0
"67,000",22,Gil Vicente,Primiera Liga,ANG,Forward,57,1
"67,000",23,P. Ferreira,Primiera Liga,ECU,Defender,28,1
"67,000",21,BRG,Primiera Liga,POR,Forward,7,0
"67,000",20,Casa Pia,Primiera Liga,ANG,Midfilder,49,0
"67,000",27,VIZ,Primiera Liga,POR,Defender,176,0
"67,000",18,Empoli,Serie A,POR,Forward,40,0
"67,000",28,Gil Vicente,Primiera Liga,FRA,Forward,216,0
"67,000",26,Rio Ave,Primiera Liga,POR,Midfilder,180,0
"67,000",25,P. Ferreira,Primiera Liga,POR,Defender,130,0
"67,000",26,PTM,Primiera Liga,FRA,Midfilder,111,0
"67,000",18,Udinese,Serie A,IRL,Defender,24,0
"67,000",21,VIZ,Primiera Liga,USA,Midfilder,79,0
"67,000",22,VIZ,Primiera Liga,POR,Defender,50,0
"67,000",22,VTSC,Primiera Liga,POR,Goalkeeper,41,0
"67,000",25,Santa Clara,Primiera Liga,POR,Midfilder,196,0
"67,000",21,P. Ferreira,Primiera Liga,NED,Midfilder,60,0
"67,000",28,VTSC,Primiera Liga,POR,Defender,255,0
"67,000",22,PTM,Primiera Liga,POR,Defender,54,0
"67,000",24,PTM,Primiera Liga,BRA,Goalkeeper,23,0
"67,000",22,Cadiz,La Liga,ESP,Defender,111,0
"66,500",21,Salento,Serie A,ITA,Goalkeeper,1,0
"65,500",18,FC Porto,Primiera Liga,POR,Goalkeeper,0,0
"65,500",25,PTM,Primiera Liga,POR,Forward,123,0
"65,500",23,BVT,Primiera Liga,POR,Midfilder,38,0
"65,500",18,Sporting CP,Primiera Liga,POR,Midfilder,0,0
"65,500",26,P. Ferreira,Primiera Liga,POR,Defender,173,0
"65,500",19,Sporting CP,Primiera Liga,POR,Defender,19,0
"65,000",24,Casa Pia,Primiera Liga,POR,Forward,106,0
"65,000",24,Casa Pia,Primiera Liga,BRA,Defender,79,0
"65,000",22,P. Ferreira,Primiera Liga,SCO,Midfilder,78,0
"65,000",20,Famalicao,Primiera Liga,AUS,Midfilder,42,0
"65,000",24,Chaves,Primiera Liga,MOZ,Defender,115,11
"65,000",28,P. Ferreira,Primiera Liga,POR,Forward,213,0
"65,000",21,BRG,Primiera Liga,POR,Forward,35,0
"65,000",35,Santa Clara,Primiera Liga,POR,Goalkeeper,363,0
"65,000",21,Estoril Praia,Primiera Liga,NGA,Forward,77,0
"65,000",18,Tottenham,Premier League,ENG,Defender,6,0
"65,000",20,Benfica,Primiera Liga,CPV,Forward,2,7
"65,000",24,Santa Clara,Primiera Liga,POR,Forward,129,0
"65,000",27,Chaves,Primiera Liga,POR,Midfilder,187,0
"65,000",18,Man UFC,Premier League,ARG,Forward,7,0
"65,000",18,Sporting CP,Primiera Liga,POR,Defender,1,0
"65,000",22,Famalicao,Primiera Liga,POR,Forward,49,0
"65,000",26,PTM,Primiera Liga,SEN,Defender,107,0
"64,500",18,VfL Wolfsburg,Bundesliga,GER,Goalkeeper,0,0
"64,500",18,VfL Wolfsburg,Bundesliga,GER,Midfilder,0,0
"64,000",18,Bologna,Serie A,ITA,Forward,4,0
"63,000",23,Casa Pia,Primiera Liga,BRA,Forward,52,0
"63,000",19,Sporting CP,Primiera Liga,POR,Forward,0,0
"62,500",30,PTM,Primiera Liga,BRA,Defender,180,0
"62,500",28,PTM,Primiera Liga,POR,Midfilder,277,0
"62,500",22,Chaves,Primiera Liga,POR,Forward,22,0
"62,500",27,Chaves,Primiera Liga,BRA,Forward,80,0
"62,500",25,Santa Clara,Primiera Liga,POR,Forward,162,0
"62,500",24,PTM,Primiera Liga,BRA,Forward,83,0
"62,500",18,Man UFC,Premier League,ENG,Midfilder,0,0
"62,500",18,Man UFC,Premier League,ESP,Defender,0,0
"62,500",19,Man UFC,Premier League,NED,Defender,0,0
"62,500",18,Crystal Palace,Premier League,IRL,Defender,0,0
"62,500",20,Everton,Premier League,ENG,Goalkeeper,0,0
"61,500",20,Strasbourg,Ligue 1 Uber Eats,JPN,Forward,88,0
"61,000",23,Gil Vicente,Primiera Liga,BRA,Defender,41,0
"60,500",23,BVT,Primiera Liga,NGA,Defender,46,0
"60,500",20,Santa Clara,Primiera Liga,BRA,Defender,6,0
"60,500",20,VTSC,Primiera Liga,POR,Defender,56,0
"60,500",29,Casa Pia,Primiera Liga,BIH,Defender,224,0
"60,500",21,Famalicao,Primiera Liga,POR,Defender,3,0
"60,500",29,Casa Pia,Primiera Liga,BRA,Defender,237,0
"60,500",20,Sporting CP,Primiera Liga,GAM,Midfilder,1,0
"60,500",27,Rio Ave,Primiera Liga,POR,Midfilder,179,0
"60,500",24,Sampdoria,Serie A,ITA,Forward,131,0
"60,500",21,Cremonese,Serie A,POL,Goalkeeper,22,0
"60,500",20,Atalanta,Serie A,ITA,Defender,20,0
"60,500",26,Brianza,Serie A,EQG,Midfilder,140,20
"60,000",19,Cremonese,Serie A,GHA,Forward,17,6
"59,000",22,Parthenope,Serie A,ITA,Goalkeeper,73,0
"58,500",18,Sporting CP,Primiera Liga,POR,Defender,0,0
"58,500",18,Sporting CP,Primiera Liga,POR,Defender,0,0
"58,500",18,Benfica,Primiera Liga,POR,Midfilder,11,0
"58,500",26,P. Ferreira,Primiera Liga,POR,Defender,117,0
"58,500",26,Gil Vicente,Primiera Liga,POR,Defender,143,0
"58,500",19,Benfica,Primiera Liga,POR,Defender,1,0
"58,500",19,Sporting CP,Primiera Liga,POR,Defender,0,0
"58,500",18,Benfica,Primiera Liga,POR,Forward,0,0
"58,500",18,Sporting CP,Primiera Liga,POR,Defender,0,0
"58,500",18,Bologna,Serie A,FIN,Midfilder,35,0
"58,000",22,Gil Vicente,Primiera Liga,GHA,Forward,1,0
"57,000",21,Hoffenheim,Bundesliga,USA,Forward,25,0
"56,000",22,Gil Vicente,Primiera Liga,BRA,Defender,56,0
"56,000",25,PTM,Primiera Liga,POR,Defender,157,0
"56,000",18,Benfica,Primiera Liga,SWE,Goalkeeper,0,0
"56,000",20,Salento,Serie A,BEL,Defender,0,0
"56,000",25,VIZ,Primiera Liga,CIV,Defender,84,0
"56,000",23,PTM,Primiera Liga,BRA,Forward,50,0
"56,000",20,Santa Clara,Primiera Liga,BRA,Defender,23,0
"56,000",23,Santa Clara,Primiera Liga,POR,Defender,89,0
"55,500",26,Salento,Serie A,ITA,Defender,173,0
"54,500",24,Casa Pia,Primiera Liga,BRA,Defender,54,0
"54,000",20,A. Madrid,La Liga,ESP,Forward,34,0
"54,000",21,Montpellier,Ligue 1 Uber Eats,FRA,Defender,0,0
"54,000",21,Casa Pia,Primiera Liga,VEN,Defender,142,0
"54,000",24,Rio Ave,Primiera Liga,CRO,Defender,118,0
"53,500",18,Udinese,Serie A,BEL,Forward,9,0
"53,500",20,Udinese,Serie A,POR,Defender,19,0
"53,500",18,Barcelona,La Liga,ESP,Midfilder,21,0
"53,000",19,Parthenope,Serie A,ESP,Midfilder,0,0
"52,000",31,Arouca,Primiera Liga,VEN,Defender,191,28
"52,000",18,FC Porto,Primiera Liga,POR,Forward,0,0
"52,000",18,FC Porto,Primiera Liga,POR,Midfilder,0,0
"52,000",22,PTM,Primiera Liga,BRA,Midfilder,25,0
"52,000",18,Benfica,Primiera Liga,MOZ,Forward,7,0
"52,000",24,Troyes,Ligue 1 Uber Eats,ENG,Forward,55,0
"52,000",18,Benfica,Primiera Liga,POR,Forward,0,0
"52,000",23,Santa Clara,Primiera Liga,POR,Defender,51,0
"52,000",18,Sporting CP,Primiera Liga,POR,Defender,0,0
"52,000",26,Arouca,Primiera Liga,BRA,Defender,49,0
"52,000",19,Sporting CP,Primiera Liga,POR,Midfilder,0,0
"52,000",18,Sporting CP,Primiera Liga,POR,Forward,0,0
"52,000",21,BVT,Primiera Liga,POR,Defender,22,0
"52,000",18,FC Porto,Primiera Liga,POR,Midfilder,0,0
"52,000",18,Benfica,Primiera Liga,ALG,Midfilder,0,0
"52,000",19,Sporting CP,Primiera Liga,POR,Forward,0,0
"52,000",18,Benfica,Primiera Liga,POR,Forward,0,0
"52,000",18,FC Porto,Primiera Liga,POR,Defender,0,0
"52,000",18,Sporting CP,Primiera Liga,GNB,Forward,0,0
"52,000",19,Wolves,Premier League,IRL,Forward,0,0
"52,000",19,Arsenal,Premier League,NED,Forward,0,0
"52,000",18,Leicester,Premier League,ENG,Defender,1,0
"52,000",18,Brighton,Premier League,ENG,Midfilder,0,0
"52,000",18,West Ham,Premier League,ENG,Midfilder,0,0
"52,000",19,Arsenal,Premier League,ENG,Goalkeeper,0,0
"52,000",18,Wolves,Premier League,NED,Defender,0,0
"52,000",18,Nottm Forest,Premier League,NIR,Midfilder,0,0
"52,000",19,Tottenham,Premier League,EST,Defender,31,16
"52,000",19,Chelsea,Premier League,ENG,Forward,18,0
"52,000",21,Nottm Forest,Premier League,SWE,Forward,4,0
"52,000",20,Brentford,Premier League,ENG,Forward,0,0
"52,000",18,Man UFC,Premier League,ENG,Midfilder,0,0
"52,000",18,Arsenal,Premier League,NIR,Defender,0,0
"52,000",18,Arsenal,Premier League,ENG,Defender,0,0
"52,000",18,Aston Villa,Premier League,ENG,Forward,1,0
"52,000",18,Southampton,Premier League,ENG,Forward,0,0
"52,000",18,Southampton,Premier League,FRA,Defender,0,0
"52,000",18,Arsenal,Premier League,IRL,Midfilder,4,0
"52,000",21,Everton,Premier League,ENG,Defender,1,0
"52,000",18,Fulham,Premier League,SUI,Midfilder,0,0
"52,000",18,Everton,Premier League,NIR,Midfilder,1,0
"52,000",18,Man UFC,Premier League,ENG,Defender,0,0
"52,000",18,Man UFC,Premier League,CZE,Goalkeeper,0,0
"52,000",18,Leicester,Premier League,ENG,Forward,1,0
"52,000",21,Nottm Forest,Premier League,SCO,Goalkeeper,46,0
"52,000",19,West Ham,Premier League,HUN,Goalkeeper,0,0
"52,000",19,West Ham,Premier League,ENG,Defender,3,0
"52,000",19,Aston Villa,Premier League,ENG,Defender,32,0
"52,000",18,Everton,Premier League,ENG,Forward,0,0
"52,000",19,Leicester,Premier League,USA,Goalkeeper,0,0
"52,000",19,Man UFC,Premier League,COL,Forward,0,0
"52,000",20,Tottenham,Premier League,SLE,Defender,0,2
"52,000",19,Tottenham,Premier League,SCO,Defender,0,0
"52,000",19,Wolves,Premier League,NIR,Defender,16,0
"52,000",18,Tottenham,Premier League,ENG,Goalkeeper,0,0
"52,000",19,Tottenham,Premier League,ESP,Midfilder,0,0
"52,000",21,Wolves,Premier League,CHN,Forward,10,0
"52,000",18,Tottenham,Premier League,ENG,Midfilder,0,0
"52,000",19,Brighton,Premier League,ENG,Defender,0,0
"52,000",19,Leicester,Premier League,ENG,Defender,0,0
"52,000",19,Newcastle,Premier League,SCO,Forward,0,0
"52,000",20,Arouca,Primiera Liga,POR,Defender,16,0
"51,500",22,Parthenope,Serie A,FRA,Defender,16,0
"51,500",22,Salento,Serie A,FRA,Defender,50,0
"51,500",18,Salento,Serie A,GER,Defender,0,0
"51,500",18,Schalke 04,Bundesliga,GER,Defender,0,0
"51,500",18,Mainz 05,Bundesliga,SRB,Defender,0,0
"51,500",18,Schalke 04,Bundesliga,GER,Defender,0,0
"51,500",19,VfL Wolfsburg,Bundesliga,GER,Goalkeeper,0,0
"51,500",22,PTM,Primiera Liga,CIV,Defender,41,0
"51,500",20,PTM,Primiera Liga,BRA,Defender,0,0
"51,500",19,Sporting CP,Primiera Liga,POR,Defender,0,0
"51,500",18,VIZ,Primiera Liga,USA,Forward,20,0
"51,500",27,Santa Clara,Primiera Liga,POR,Goalkeeper,129,0
"51,500",31,Casa Pia,Primiera Liga,CPV,Midfilder,321,1
"50,500",26,Chaves,Primiera Liga,BRA,Goalkeeper,98,0
"50,500",18,BRG,Primiera Liga,POR,Defender,0,0
"50,500",18,BRG,Primiera Liga,POR,Forward,0,0
"50,000",20,AC Ajaccio,Ligue 1 Uber Eats,FRA,Midfilder,43,0
"49,500",23,Chaves,Primiera Liga,CIV,Defender,50,0
"49,500",18,VTSC,Primiera Liga,BEL,Forward,0,0
"49,000",22,RC Lens,Ligue 1 Uber Eats,POL,Midfilder,111,0
"49,000",22,Montpellier,Ligue 1 Uber Eats,FRA,Midfilder,84,0
"47,500",26,Arouca,Primiera Liga,BRA,Goalkeeper,30,0
"47,500",18,Mainz 05,Bundesliga,LVA,Forward,0,0
"47,500",18,Mainz 05,Bundesliga,CRO,Midfilder,0,0
"47,000",21,P. Ferreira,Primiera Liga,POR,Defender,39,0
"47,000",21,BRG,Primiera Liga,EQG,Forward,2,10
"47,000",18,Famalicao,Primiera Liga,BRA,Midfilder,0,0
"47,000",20,Atalanta,Serie A,CZE,Midfilder,2,0
"47,000",19,Crystal Palace,Premier League,ENG,Forward,0,0
"47,000",21,Fulham,Premier League,ENG,Midfilder,20,0
"47,000",18,Crystal Palace,Premier League,ENG,Midfilder,0,0
"47,000",19,Crystal Palace,Premier League,ENG,Defender,32,0
"47,000",18,Crystal Palace,Premier League,WAL,Midfilder,0,0
"47,000",19,Tottenham,Premier League,IRL,Goalkeeper,1,0
"47,000",19,Everton,Premier League,SVN,Goalkeeper,0,0
"47,000",18,Crystal Palace,Premier League,ENG,Goalkeeper,0,0
"47,000",18,Crystal Palace,Premier League,ENG,Midfilder,0,0
"46,000",19,Fiorentina,Serie A,BUL,Midfilder,7,0
"46,000",18,Capitoline,Serie A,ITA,Defender,0,0
"45,500",19,Milan,Serie A,ITA,Forward,1,0
"45,500",19,PSG,Ligue 1 Uber Eats,FRA,Goalkeeper,0,0
"45,000",23,Arouca,Primiera Liga,BRA,Forward,32,0
"44,000",18,Aston Villa,Premier League,IRL,Defender,0,0
"44,000",20,Aston Villa,Premier League,ENG,Forward,5,0
"44,000",20,Aston Villa,Premier League,ENG,Defender,0,0
"43,500",18,Milan,Serie A,ITA,Midfilder,0,0
"43,500",24,P. Ferreira,Primiera Liga,SVN,Goalkeeper,107,0
"43,500",21,Santa Clara,Primiera Liga,BRA,Midfilder,26,0
"43,500",23,Montpellier,Ligue 1 Uber Eats,POR,Goalkeeper,6,0
"43,500",21,Gil Vicente,Primiera Liga,BRA,Defender,3,0
"43,500",19,BRG,Primiera Liga,POR,Midfilder,0,0
"43,500",22,Famalicao,Primiera Liga,POR,Defender,7,0
"43,500",20,Arouca,Primiera Liga,BRA,Forward,23,0
"43,500",20,Estoril Praia,Primiera Liga,POR,Midfilder,8,0
"43,500",19,BRG,Primiera Liga,SEN,Midfilder,0,0
"43,500",23,PTM,Primiera Liga,POR,Midfilder,5,0
"43,500",20,BRG,Primiera Liga,BRA,Goalkeeper,1,0
"43,500",22,PTM,Primiera Liga,POR,Forward,33,0
"43,000",18,Schalke 04,Bundesliga,GER,Defender,0,0
"43,000",18,Mainz 05,Bundesliga,GER,Goalkeeper,0,0
"43,000",21,Hertha Berlin,Bundesliga,SUI,Forward,27,0
"43,000",18,Mainz 05,Bundesliga,BIH,Defender,0,0
"43,000",28,FC Bayern,Bundesliga,GER,Goalkeeper,67,0
"43,000",18,Mainz 05,Bundesliga,GER,Midfilder,0,0
"42,500",21,Rio Ave,Primiera Liga,POR,Forward,33,0
"42,500",18,BVT,Primiera Liga,POR,Forward,0,0
"42,500",21,Estoril Praia,Primiera Liga,FRA,Midfilder,33,0
"42,500",19,Famalicao,Primiera Liga,POR,Midfilder,14,0
"42,500",20,Milan,Serie A,ITA,Forward,0,0
"41,500",19,Sampdoria,Serie A,VEN,Midfilder,60,1
"41,500",18,Leicester,Premier League,BER,Defender,0,1
"41,500",20,Bournemouth,Premier League,ENG,Defender,15,0
"41,500",20,Newcastle,Premier League,ENG,Defender,6,0
"41,500",18,Leicester,Premier League,USA,Midfilder,0,0
"41,500",18,Leicester,Premier League,ENG,Midfilder,0,0
"41,500",18,Man UFC,Premier League,ENG,Defender,0,0
"41,500",18,Newcastle,Premier League,IRL,Defender,31,0
"41,500",19,Sassuolo,Serie A,ITA,Goalkeeper,0,0
"41,500",19,Bologna,Serie A,FIN,Forward,0,0
"41,500",20,BRG,Primiera Liga,POR,Defender,11,0
"41,000",18,Bologna,Serie A,ITA,Goalkeeper,1,0
"41,000",19,Capitoline,Serie A,ITA,Forward,0,0
"41,000",20,Parthenope,Serie A,POL,Goalkeeper,0,0
"41,000",18,Milan,Serie A,ITA,Forward,0,0
"40,500",19,Capitoline,Serie A,BIH,Midfilder,26,0
"40,500",22,Bologna,Serie A,ITA,Goalkeeper,56,0
"40,000",21,Liverpool,Premier League,NIR,Goalkeeper,9,0
"40,000",18,Liverpool,Premier League,ENG,Defender,0,0
"40,000",18,Liverpool,Premier League,POL,Forward,0,0
"40,000",20,Liverpool,Premier League,ENG,Forward,0,0
"40,000",19,Liverpool,Premier League,ENG,Goalkeeper,0,0
"40,000",18,Liverpool,Premier League,GER,Defender,0,0
"40,000",19,Capitoline,Serie A,FRA,Defender,0,0
"39,000",24,Casa Pia,Primiera Liga,BRA,Goalkeeper,27,0
"39,000",18,VTSC,Primiera Liga,CAN,Forward,0,0
"39,000",22,BVT,Primiera Liga,POR,Forward,33,0
"39,000",18,Aston Villa,Premier League,ENG,Forward,0,0
"39,000",19,Wolves,Premier League,WAL,Midfilder,0,0
"39,000",19,Man UFC,Premier League,NIR,Goalkeeper,13,0
"39,000",20,Newcastle,Premier League,ENG,Goalkeeper,0,0
"39,000",19,FC Nantes,Ligue 1 Uber Eats,FRA,Midfilder,3,0
"39,000",19,West Ham,Premier League,ENG,Forward,0,0
"39,000",18,Leicester,Premier League,IRL,Goalkeeper,3,0
"39,000",18,West Ham,Premier League,ENG,Defender,2,0
"39,000",21,Wolves,Premier League,ENG,Defender,0,0
"39,000",18,Aston Villa,Premier League,NIR,Midfilder,0,0
"39,000",18,Leeds,Premier League,ENG,Defender,1,0
"38,500",18,Bologna,Serie A,ITA,Defender,1,0
"38,500",18,Schalke 04,Bundesliga,GER,Goalkeeper,0,0
"38,500",19,Torino,Serie A,FRA,Midfilder,0,0
"38,500",21,RC Lens,Ligue 1 Uber Eats,FRA,Forward,23,0
"38,500",22,VIZ,Primiera Liga,ESP,Midfilder,64,0
"38,000",19,Atalanta,Serie A,ITA,Forward,1,0
"38,000",24,Santa Clara,Primiera Liga,POR,Forward,84,0
"38,000",28,PTM,Primiera Liga,KOR,Defender,238,13
"38,000",20,Famalicao,Primiera Liga,MNE,Defender,0,0
"38,000",19,BRG,Primiera Liga,POR,Defender,0,0
"38,000",22,Famalicao,Primiera Liga,BRA,Defender,6,0
"38,000",21,PTM,Primiera Liga,BRA,Midfilder,2,0
"37,500",18,VfL Bochum,Bundesliga,GER,Defender,0,0
"37,500",19,Fiorentina,Serie A,ITA,Forward,1,0
"37,500",18,Real Hispalis,La Liga,ESP,Defender,3,0
"37,500",20,P. Ferreira,Primiera Liga,POR,Midfilder,1,0
"37,500",21,Angers SCO,Ligue 1 Uber Eats,GAB,Forward,23,4
"37,000",24,Casa Pia,Primiera Liga,BRA,Goalkeeper,15,0
"37,000",19,BRG,Primiera Liga,POR,Defender,0,0
"37,000",18,BRG,Primiera Liga,POR,Midfilder,0,0
"37,000",18,BRG,Primiera Liga,GNB,Forward,0,0
"37,000",23,Brest,Ligue 1 Uber Eats,FRA,Goalkeeper,7,0
"36,500",18,Newcastle,Premier League,ENG,Forward,5,0
"36,500",21,Nottm Forest,Premier League,ENG,Goalkeeper,7,0
"36,000",20,Cremonese,Serie A,ITA,Midfilder,31,0
"36,000",19,Salento,Serie A,FIN,Goalkeeper,4,0
"36,000",21,Inter,Serie A,ITA,Midfilder,9,0
"36,000",19,Famalicao,Primiera Liga,POR,Midfilder,0,0
"36,000",19,Brianza,Serie A,BRA,Forward,0,0
"35,500",18,Capitoline,Serie A,ITA,Midfilder,0,0
"35,500",22,Atalanta,Serie A,SEN,Goalkeeper,21,0
"35,000",19,Bologna,Serie A,NED,Midfilder,8,0
"35,000",19,Bologna,Serie A,FIN,Defender,42,0
"34,500",20,Fulham,Premier League,ENG,Forward,23,0
"34,500",18,Brianza,Serie A,ITA,Forward,19,0
"34,500",20,SC Freiburg,Bundesliga,GER,Midfilder,51,0
"34,500",32,MRT,Primiera Liga,BRA,Goalkeeper,123,0
"34,500",21,Brianza,Serie A,ITA,Midfilder,63,0
"34,000",18,Leeds,Premier League,ENG,Goalkeeper,0,0
"34,000",18,Brentford,Premier League,IRL,Defender,16,0
"34,000",18,Newcastle,Premier League,ENG,Forward,0,0
"33,500",20,Bologna,Serie A,ITA,Forward,2,0
"33,500",18,Atalanta,Serie A,ZAM,Midfilder,22,0
"33,500",19,Lazio,Serie A,CIV,Midfilder,0,0
"33,500",18,BRG,Primiera Liga,POR,Midfilder,0,0
"33,500",20,BRG,Primiera Liga,SRB,Defender,2,0
"33,500",20,VIZ,Primiera Liga,NGA,Forward,4,0
"33,500",18,Famalicao,Primiera Liga,POR,Defender,0,0
"33,500",20,Estoril Praia,Primiera Liga,BRA,Forward,0,0
"33,500",20,Estoril Praia,Primiera Liga,BRA,Forward,0,0
"33,500",22,Gil Vicente,Primiera Liga,POR,Goalkeeper,2,0
"33,500",21,BRG,Primiera Liga,POR,Midfilder,14,0
"33,500",19,VIZ,Primiera Liga,USA,Midfilder,17,0
"33,500",20,PTM,Primiera Liga,BRA,Defender,3,0
"33,500",21,Famalicao,Primiera Liga,POR,Defender,29,0
"33,500",20,Famalicao,Primiera Liga,POR,Goalkeeper,1,0
"33,500",19,Estoril Praia,Primiera Liga,POR,Goalkeeper,0,0
"32,500",20,Milan,Serie A,ITA,Midfilder,0,0
"32,500",19,Fiorentina,Serie A,ALB,Forward,4,0
"32,500",18,Bologna,Serie A,ITA,Defender,0,0
"32,500",22,Rio Ave,Primiera Liga,BRA,Goalkeeper,14,0
"32,500",18,RB Leipzig,Bundesliga,GER,Goalkeeper,0,0
"32,000",22,Arouca,Primiera Liga,POR,Goalkeeper,52,0
"32,000",19,Torino,Serie A,ITA,Goalkeeper,33,0
"32,000",19,Lazio,Serie A,ITA,Defender,0,0
"32,000",20,Lazio,Serie A,SUI,Defender,0,0
"32,000",18,RB Leipzig,Bundesliga,GER,Goalkeeper,0,0
"31,500",19,Fiorentina,Serie A,ITA,Forward,3,0
"31,500",18,Salento,Serie A,ROU,Midfilder,3,0
"31,500",19,Lazio,Serie A,PAR,Forward,29,0
"31,500",19,BRG,Primiera Liga,GNB,Defender,0,0
"31,500",19,Famalicao,Primiera Liga,POR,Defender,0,0
"31,500",20,P. Ferreira,Primiera Liga,POR,Defender,30,0
"31,500",18,Sassuolo,Serie A,IRL,Defender,20,0
"31,500",18,Bologna,Serie A,FRA,Defender,0,0
"31,000",18,Leicester,Premier League,ENG,Defender,0,0
"31,000",18,Nottm Forest,Premier League,ENG,Goalkeeper,0,0
"31,000",18,Aston Villa,Premier League,ENG,Defender,0,0
"31,000",18,Tottenham,Premier League,ENG,Defender,4,0
"31,000",18,Brighton,Premier League,IRL,Defender,1,0
"31,000",20,Fulham,Premier League,FIN,Forward,36,0
"31,000",18,Aston Villa,Premier League,ENG,Midfilder,0,0
"31,000",19,Crystal Palace,Premier League,ENG,Defender,0,0
"31,000",19,Crystal Palace,Premier League,IRQ,Defender,0,0
"31,000",19,Man City,Premier League,ENG,Midfilder,0,0
"31,000",18,Fulham,Premier League,USA,Goalkeeper,0,0
"31,000",19,Everton,Premier League,WAL,Defender,0,0
"31,000",18,Crystal Palace,Premier League,ENG,Forward,5,0
"31,000",18,Crystal Palace,Premier League,ENG,Midfilder,0,0
"31,000",18,Crystal Palace,Premier League,ENG,Goalkeeper,0,0
"31,000",19,Fulham,Premier League,WAL,Defender,0,0
"31,000",18,Everton,Premier League,ENG,Defender,0,0
"31,000",18,Newcastle,Premier League,ENG,Goalkeeper,0,0
"31,000",18,Nottm Forest,Premier League,ENG,Midfilder,0,0
"31,000",19,Fulham,Premier League,ENG,Defender,0,0
"31,000",18,Everton,Premier League,ENG,Defender,0,0
"31,000",18,Crystal Palace,Premier League,ENG,Defender,0,0
"31,000",19,Brighton,Premier League,FRA,Midfilder,2,0
"31,000",18,Wolves,Premier League,AUS,Midfilder,0,0
"31,000",19,Nottm Forest,Premier League,IRL,Defender,0,0
"31,000",18,Crystal Palace,Premier League,ENG,Defender,0,0
"31,000",18,Crystal Palace,Premier League,ENG,Forward,0,0
"31,000",18,Aston Villa,Premier League,ENG,Defender,0,0
"31,000",22,Eintracht Frankfurt,Bundesliga,CRO,Defender,75,0
"31,000",20,MRT,Primiera Liga,POR,Midfilder,7,0
"31,000",18,BRG,Primiera Liga,POR,Defender,0,0
"31,000",18,VTSC,Primiera Liga,POR,Forward,0,0
"31,000",19,BRG,Primiera Liga,POR,Forward,0,0
"31,000",21,PTM,Primiera Liga,BRA,Goalkeeper,0,0
"31,000",19,Famalicao,Primiera Liga,POR,Defender,0,0
"31,000",18,BRG,Primiera Liga,POR,Defender,2,0
"31,000",21,BVT,Primiera Liga,POR,Goalkeeper,2,0
"31,000",20,BRG,Primiera Liga,POR,Goalkeeper,0,0
"31,000",18,VIZ,Primiera Liga,POR,Goalkeeper,0,0
"31,000",18,Estoril Praia,Primiera Liga,POR,Midfilder,7,0
"31,000",19,BRG,Primiera Liga,POR,Defender,0,0
"31,000",18,BRG,Primiera Liga,POR,Forward,0,0
"31,000",21,BRG,Primiera Liga,POR,Defender,1,0
"31,000",19,VIZ,Primiera Liga,COL,Midfilder,0,0
"31,000",19,BRG,Primiera Liga,POR,Goalkeeper,0,0
"31,000",20,BRG,Primiera Liga,POR,Defender,0,0
"31,000",20,BRG,Primiera Liga,CAN,Defender,0,0
"31,000",18,BRG,Primiera Liga,ANG,Forward,17,0
"31,000",19,Juventus,Serie A,ITA,Forward,6,0
"31,000",19,PTM,Primiera Liga,JPN,Forward,0,0
"31,000",18,BRG,Primiera Liga,POR,Midfilder,0,0
"31,000",21,MRT,Primiera Liga,NGA,Midfilder,5,0
"31,000",19,VIZ,Primiera Liga,POR,Defender,1,0
"30,500",19,Capitoline,Serie A,FRA,Defender,0,0
"30,500",19,VIZ,Primiera Liga,EGY,Goalkeeper,0,0
"30,000",24,Arouca,Primiera Liga,USA,Forward,157,0
"30,000",19,Juventus,Serie A,ITA,Defender,0,0
"30,000",18,Borussia Dortmund,Bundesliga,GER,Goalkeeper,0,0
"30,000",18,VfB Stuttgart,Bundesliga,GER,Defender,0,0
"30,000",19,PTM,Primiera Liga,KOR,Forward,0,0
"30,000",18,FC Augsburg,Bundesliga,POL,Goalkeeper,0,0
"29,000",19,Juventus,Serie A,ITA,Defender,0,0
"29,000",18,Milan,Serie A,FRA,Defender,0,0
"29,000",19,Parthenope,Serie A,ITA,Defender,0,0
"29,000",20,Estoril Praia,Primiera Liga,BEL,Midfilder,5,0
"29,000",20,Estoril Praia,Primiera Liga,BRA,Midfilder,45,0
