Wage,Age,Club,League,Nation,Position,Apps,Caps
"4,742,000",25,AS Monaco,Ligue 1 Uber Eats,GER,Goalkeeper,141,0
"4,729,000",19,FC Bayern,Bundesliga,GER,Midfilder,74,15
"4,680,000",31,OL,Ligue 1 Uber Eats,FRA,Forward,367,16
"4,680,000",30,Newcastle,Premier League,ENG,Forward,284,4
"4,680,000",22,Newcastle,Premier League,NED,Defender,122,0
"4,680,000",25,Benfica,Primiera Liga,POR,Midfilder,236,32
"4,680,000",,Liverpool,Premier League,COL,Forward,197,37
"4,680,000",26,Sampdoria,Serie A,ENG,Midfilder,130,10
"4,680,000",25,Leicester,Premier League,NGA,Forward,174,43
"4,680,000",24,Arsenal,Premier League,ENG,Defender,177,4
"4,680,000",29,Everton,Premier League,ENG,Defender,347,2
"4,680,000",25,Newcastle,Premier League,FRA,Midfilder,212,0
"4,680,000",27,Man City,Premier League,SUI,Defender,200,41
"4,680,000",30,Tottenham,Premier League,BRA,Midfilder,365,36
"4,680,000",,Newcastle,Premier League,ENG,Forward,76,0
"4,643,000",30,Fulham,Premier League,FRA,Defender,182,13
"4,643,000",26,RB Leipzig,Bundesliga,SEN,Defender,154,17
"4,595,000",28,Salento,Serie A,FRA,Defender,227,31
"4,594,000",25,PSG,Ligue 1 Uber Eats,ESP,Defender,222,9
"4,559,000",,Sevilla,La Liga,SRB,Defender,327,48
"4,483,000",36,Real San Sebastian,La Liga,ESP,Midfilder,562,125
"4,474,000",23,Inter,Serie A,ITA,Defender,124,15
"4,423,000",,Juventus,Serie A,BRA,Defender,312,45
"4,423,000",27,Milan,Serie A,BEL,Forward,209,32
"4,423,000",24,Milan,Serie A,FRA,Defender,180,7
"4,420,000",30,Fulham,Premier League,GER,Goalkeeper,398,9
"4,420,000",24,Crystal Palace,Premier League,FRA,Forward,162,0
"4,420,000",25,Aston Villa,Premier League,JAM,Midfilder,200,17
"4,420,000",28,Wolves,Premier League,POR,Defender,309,24
"4,368,000",25,Everton,Premier League,ENG,Forward,200,11
"4,311,000",31,A. Bilbao,La Liga,ESP,Defender,400,19
"4,311,000",27,Salernitana,Serie A,POL,Forward,300,23
"4,311,000",29,Bayer 04,Bundesliga,GER,Midfilder,246,2
"4,311,000",27,A. Madrid,La Liga,ARG,Midfilder,290,20
"4,311,000",,A. Madrid,La Liga,URU,Defender,195,78
"4,299,000",33,Bayer 04,Bundesliga,CHI,Midfilder,437,97
"4,299,000",33,FC Bayern,Bundesliga,SUI,Goalkeeper,504,74
"4,299,000",34,Borussia Dortmund,Bundesliga,FRA,Forward,403,0
"4,299,000",,OL,Ligue 1 Uber Eats,GER,Defender,378,76
"4,299,000",25,OM,Ligue 1 Uber Eats,MAR,Midfilder,161,14
"4,299,000",26,RB Leipzig,Bundesliga,GER,Defender,193,18
"4,299,000",28,OL,Ligue 1 Uber Eats,FRA,Midfilder,193,28
"4,296,000",28,Borussia Dortmund,Bundesliga,POR,Defender,275,56
"4,259,000",32,Bayer 04,Bundesliga,GER,Midfilder,310,11
"4,199,000",32,Capitoline,Serie A,ENG,Defender,308,31
"4,199,000",33,Inter,Serie A,ARM,Midfilder,438,94
"4,160,000",,A. Madrid,La Liga,ESP,Defender,180,6
"4,160,000",26,West Ham,Premier League,ESP,Midfilder,274,6
"4,160,000",30,Nottm Forest,Premier League,ENG,Midfilder,364,6
"4,160,000",25,Leicester,Premier League,NGA,Midfilder,235,48
"4,160,000",23,Leicester,Premier League,FRA,Midfilder,103,0
"4,160,000",26,Newcastle,Premier League,ENG,Defender,159,0
"4,160,000",23,Chelsea,Premier League,ENG,Defender,133,0
"4,160,000",23,Newcastle,Premier League,ENG,Midfilder,89,0
"4,160,000",,Nottm Forest,Premier League,NZL,Forward,454,70
